count,timestamp,qx,qy,qz,qw,p,q,r,ax,ay,az,x,y,z,vx,vy,vz,roll,pitch,yaw,y_actual,vy_actual
0,6099770031000,0.0011975332163274288,-0.004433586727827787,0.7073426842689514,0.706855833530426,-0.08771850168704987,0.017551185563206673,-0.005095270927995443,1.6392545700073242,0.03656468912959099,-9.15836238861084,0.0,0.0,0.07000000029802322,0.016432564705610275,0.04070848971605301,-0.05096692219376564,-0.2623759986572445,-0.45619075314309954,90.04049371803144,-0.0,-0.01646133127166473
1,6099837187000,-0.0007195405778475106,-0.00706779770553112,0.7073571681976318,0.7068204879760742,-0.026932964101433754,-0.008274433203041553,0.001021140837110579,0.1254119873046875,0.4838811159133911,-9.495112419128418,0.0,0.0,0.07000000029802322,0.026527203619480133,-0.01718500815331936,-0.03775199130177498,-0.6312135637384862,-0.5141440193085052,90.04631962542948,-0.0,-0.026513302076786507
2,6099872087000,-0.0008453376358374953,-0.005335184279829264,0.7071691155433655,0.7070236802101135,0.08985231071710587,0.007901162840425968,-0.0037724317517131567,-0.8462822437286377,0.5684523582458496,-9.987652778625488,0.0,0.0,0.07000000029802322,0.02782691828906536,-0.015401387587189674,-0.037630509585142136,-0.5008448455625215,-0.3637510622919178,90.01337443602142,-0.0,-0.02782332241673117
3,6099940015000,0.001219194964505732,-0.0032065350096672773,0.7070008516311646,0.7072043418884277,0.09069180488586426,-0.03741762787103653,0.000441630429122597,-0.9826769828796387,0.40022408962249756,-10.296786308288574,0.0,0.0,0.07000000029802322,0.017840277403593063,-0.0006481335149146616,-0.023613063618540764,-0.1609819398759819,-0.3586335285587475,89.98401522064091,0.0,-0.017840457530147145
4,6099975013000,0.0013701716670766473,-0.002252395497635007,0.7070051431655884,0.7072035074234009,0.01537196896970272,0.016949009150266647,0.019238026812672615,-0.03514732047915459,-1.186869502067566,-9.699222564697266,0.0,0.0,0.07000000029802322,-0.01329714898020029,0.026397762820124626,-0.036215685307979584,-0.07144477992419034,-0.29354135368852735,89.9841098079009,0.0,0.013304469523189961
5,6100044113000,0.0021883880253881216,-0.002918527228757739,0.70685875415802,0.7073453664779663,-0.05170024558901787,0.03872377797961235,0.041676413267850876,-0.5893812775611877,0.4936617910861969,-9.801032066345215,0.0,0.0,0.07000000029802322,0.047041717916727066,0.014234586618840694,-0.03422744944691658,-0.05902082697382835,-0.41382668366826947,89.9607834312788,0.0,-0.04703196391818072
6,6100079087000,0.0013639612589031458,-0.005565723869949579,0.7067003846168518,0.7074896693229675,0.07406942546367645,0.036625511944293976,-0.04294518753886223,0.40179455280303955,0.5382076501846313,-10.016722679138184,0.0,0.0,0.07000000029802322,0.010770865716040134,-0.016162080690264702,-0.03905646130442619,-0.3401617274162633,-0.5616915051598164,89.93771179583023,0.0,-0.010788429699183418
7,6100114113000,0.004602719098329544,-0.002630958566442132,0.7068405151367188,0.7073529958724976,0.08624196797609329,0.08307990431785583,-0.029721850529313087,0.2985382378101349,0.7214300036430359,-10.387247085571289,0.0,0.0,0.07000000029802322,0.011198606342077255,0.017359662801027298,-0.020824545994400978,0.15998746982617698,-0.5860779050140416,89.95765562119902,0.0,-0.011185773646465513
8,6100184029000,0.005957751534879208,-0.005537034943699837,0.7067626118659973,0.7074039578437805,-0.09336593747138977,0.020532259717583656,0.02988891303539276,-0.17095991969108582,-0.3294781446456909,-10.479204177856445,0.0,0.0,0.07000000029802322,0.03907928615808487,2.8570388167281635e-05,0.01663372851908207,0.034515846367732445,-0.9313996458688316,89.94775044354303,0.0,-0.03907924385461528
9,6100253134000,0.0005966487806290388,-0.01186210848391056,0.706358015537262,0.7077550292015076,-0.21869593858718872,0.011151538230478764,0.0063555072993040085,0.39588838815689087,-0.0891517773270607,-10.76823902130127,0.0,0.0,0.07999999821186066,0.008275790140032768,-0.010473926551640034,0.07285504788160324,-0.9119412204449947,-1.010396464876923,89.89483541650536,0.0,-0.008295000748424538
